"Species","Region","Indicator","category","Year","Value","rank","n_years_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank"
"Scup","Atlantic","asmt_catch","Socioeconomic","1920-1924 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1921-1925 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1922-1926 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1923-1927 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1924-1928 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1925-1929 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1926-1930 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1927-1931 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1928-1932 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1929-1933 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1930-1934 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1931-1935 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","asmt_catch","Socioeconomic","1932-1936 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","asmt_catch","Socioeconomic","1933-1937 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","asmt_catch","Socioeconomic","1934-1938 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","asmt_catch","Socioeconomic","1935-1939 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1936-1940 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1937-1941 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1938-1942 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1939-1943 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1940-1944 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1941-1945 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1942-1946 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1943-1947 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1944-1948 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","asmt_catch","Socioeconomic","1945-1949 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1946-1950 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1947-1951 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1948-1952 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1949-1953 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1950-1954 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1951-1955 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","asmt_catch","Socioeconomic","1952-1956 mean",NA,NA,NA,8,NA,2.5,12
"Scup","Atlantic","asmt_catch","Socioeconomic","1953-1957 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","asmt_catch","Socioeconomic","1954-1958 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","asmt_catch","Socioeconomic","1955-1959 mean",NA,NA,NA,8,NA,2.5,11
"Scup","Atlantic","asmt_catch","Socioeconomic","1956-1960 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","asmt_catch","Socioeconomic","1957-1961 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","asmt_catch","Socioeconomic","1958-1962 mean",NA,NA,NA,8,NA,2.5,11
"Scup","Atlantic","asmt_catch","Socioeconomic","1959-1963 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","asmt_catch","Socioeconomic","1960-1964 mean",NA,NA,NA,8,NA,2.5,15
"Scup","Atlantic","asmt_catch","Socioeconomic","1961-1965 mean",NA,NA,NA,8,NA,2.5,18
"Scup","Atlantic","asmt_catch","Socioeconomic","1962-1966 mean",NA,NA,NA,8,NA,2.5,17
"Scup","Atlantic","asmt_catch","Socioeconomic","1963-1967 mean",NA,NA,NA,8,NA,2.5,18
"Scup","Atlantic","asmt_catch","Socioeconomic","1964-1968 mean",NA,NA,NA,8,NA,4.72115384615385,33
"Scup","Atlantic","asmt_catch","Socioeconomic","1965-1969 mean",NA,NA,NA,8,NA,5.16346153846154,32
"Scup","Atlantic","asmt_catch","Socioeconomic","1966-1970 mean",NA,NA,NA,8,NA,5.52884615384615,36
"Scup","Atlantic","asmt_catch","Socioeconomic","1967-1971 mean",NA,NA,NA,8,NA,6.25,47
"Scup","Atlantic","asmt_catch","Socioeconomic","1968-1972 mean",NA,NA,NA,8,NA,6.07692307692308,44
"Scup","Atlantic","asmt_catch","Socioeconomic","1969-1973 mean",NA,NA,NA,8,NA,7.44150641025641,39
"Scup","Atlantic","asmt_catch","Socioeconomic","1970-1974 mean",NA,NA,NA,8,NA,7.37660256410256,38
"Scup","Atlantic","asmt_catch","Socioeconomic","1971-1975 mean",NA,NA,NA,8,NA,6.70833333333333,30
"Scup","Atlantic","asmt_catch","Socioeconomic","1972-1976 mean",NA,NA,NA,8,NA,6.81089743589744,30
"Scup","Atlantic","asmt_catch","Socioeconomic","1973-1977 mean",NA,NA,NA,8,NA,6.25721153846154,20
"Scup","Atlantic","asmt_catch","Socioeconomic","1974-1978 mean",NA,NA,NA,8,NA,6.13782051282051,21
"Scup","Atlantic","asmt_catch","Socioeconomic","1975-1979 mean",NA,NA,NA,8,NA,6.30448717948718,26
"Scup","Atlantic","asmt_catch","Socioeconomic","1976-1980 mean",NA,NA,NA,8,NA,6.84615384615385,38
"Scup","Atlantic","asmt_catch","Socioeconomic","1977-1981 mean",19514,38,83,8,1,7.73317307692308,49
"Scup","Atlantic","asmt_catch","Socioeconomic","1978-1982 mean",18132.5,37,84,8,0.973684210526316,8.14275472334683,49
"Scup","Atlantic","asmt_catch","Socioeconomic","1979-1983 mean",17200.3333333333,36,81,8,0.947368421052632,8.80474021592443,50
"Scup","Atlantic","asmt_catch","Socioeconomic","1980-1984 mean",16109.25,35,79,8,0.921052631578947,9.14274066576698,53
"Scup","Atlantic","asmt_catch","Socioeconomic","1981-1985 mean",15885.2,34,81,8,0.894736842105263,8.82395692757535,50
"Scup","Atlantic","asmt_catch","Socioeconomic","1982-1986 mean",15375.4,31,82,8,0.815789473684211,9.40870676880739,47
"Scup","Atlantic","asmt_catch","Socioeconomic","1983-1987 mean",14805.6,30,80,8,0.789473684210526,9.56497330713662,50
"Scup","Atlantic","asmt_catch","Socioeconomic","1984-1988 mean",14114.8,28,78,8,0.736842105263158,8.82177800269906,38
"Scup","Atlantic","asmt_catch","Socioeconomic","1985-1989 mean",13566.8,25,72,8,0.657894736842105,8.86256731099997,36
"Scup","Atlantic","asmt_catch","Socioeconomic","1986-1990 mean",12639,23,61,8,0.605263157894737,8.44843183562224,29
"Scup","Atlantic","asmt_catch","Socioeconomic","1987-1991 mean",12526.2,22,67,8,0.578947368421053,7.99951046545474,11
"Scup","Atlantic","asmt_catch","Socioeconomic","1988-1992 mean",12245,21,68,8,0.552631578947368,8.38175425365828,17
"Scup","Atlantic","asmt_catch","Socioeconomic","1989-1993 mean",11542,20,63,8,0.526315789473684,8.0978341404038,12
"Scup","Atlantic","asmt_catch","Socioeconomic","1990-1994 mean",10992.4,18,58,8,0.473684210526316,8.48821726733878,19
"Scup","Atlantic","asmt_catch","Socioeconomic","1991-1995 mean",9945.4,16,51,8,0.421052631578947,9.26425273213199,31
"Scup","Atlantic","asmt_catch","Socioeconomic","1992-1996 mean",7840,7,50,8,0.184210526315789,9.88682490540076,46
"Scup","Atlantic","asmt_catch","Socioeconomic","1993-1997 mean",6151.4,5,49,8,0.131578947368421,9.76895954063137,44
"Scup","Atlantic","asmt_catch","Socioeconomic","1994-1998 mean",5175,3,44,8,0.0789473684210526,9.82924588526369,46
"Scup","Atlantic","asmt_catch","Socioeconomic","1995-1999 mean",4583.4,1,45,8,0.0263157894736842,9.10116495991109,41
"Scup","Atlantic","asmt_catch","Socioeconomic","1996-2000 mean",5003.6,2,43,8,0.0526315789473684,8.22903932153158,32
"Scup","Atlantic","asmt_catch","Socioeconomic","1997-2001 mean",5479,4,49,8,0.105263157894737,7.66183995528036,28
"Scup","Atlantic","asmt_catch","Socioeconomic","1998-2002 mean",6210.4,6,55,8,0.157894736842105,6.33178865338308,11
"Scup","Atlantic","asmt_catch","Socioeconomic","1999-2003 mean",8135.2,8,59,8,0.210526315789474,7.19842852795639,22
"Scup","Atlantic","asmt_catch","Socioeconomic","2000-2004 mean",9651.6,13,58,8,0.342105263157895,6.39649817416845,12
"Scup","Atlantic","asmt_catch","Socioeconomic","2001-2005 mean",9535.8,11,61,8,0.289473684210526,6.71016247254637,14
"Scup","Atlantic","asmt_catch","Socioeconomic","2002-2006 mean",9546.4,12,53,8,0.315789473684211,5.88232730676616,6
"Scup","Atlantic","asmt_catch","Socioeconomic","2003-2007 mean",9841,15,49,8,0.394736842105263,6.98484179434257,12
"Scup","Atlantic","asmt_catch","Socioeconomic","2004-2008 mean",8676,10,47,8,0.263157894736842,5.36870716572729,3
"Scup","Atlantic","asmt_catch","Socioeconomic","2005-2009 mean",8344.2,9,49,8,0.236842105263158,5.45551354819931,4
"Scup","Atlantic","asmt_catch","Socioeconomic","2006-2010 mean",9807,14,49,8,0.368421052631579,6.07790131909714,2
"Scup","Atlantic","asmt_catch","Socioeconomic","2007-2011 mean",10796.6,17,51,8,0.447368421052632,6.36957178957953,4
"Scup","Atlantic","asmt_catch","Socioeconomic","2008-2012 mean",11393.2,19,48,8,0.5,6.35129462041227,5
"Scup","Atlantic","asmt_catch","Socioeconomic","2009-2013 mean",13074.8,24,45,8,0.631578947368421,7.95490725304967,26
"Scup","Atlantic","asmt_catch","Socioeconomic","2010-2014 mean",13688.6,26,50,8,0.684210526315789,7.4110079119367,17
"Scup","Atlantic","asmt_catch","Socioeconomic","2011-2015 mean",14019.6,27,51,8,0.710526315789474,7.95796535550793,22
"Scup","Atlantic","asmt_catch","Socioeconomic","2012-2016 mean",14432.6,29,48,8,0.763157894736842,7.49536314863327,14
"Scup","Atlantic","asmt_catch","Socioeconomic","2013-2017 mean",15791.6,32,49,8,0.842105263157895,8.07345267391707,20
"Scup","Atlantic","asmt_catch","Socioeconomic","2014-2018 mean",15830.8,33,50,8,0.868421052631579,7.58697937339578,17
"Scup","Atlantic","recruitment","Population","1914-1918 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1915-1919 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1916-1920 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1917-1921 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1918-1922 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1919-1923 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1920-1924 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1921-1925 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1922-1926 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1923-1927 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1924-1928 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1925-1929 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1926-1930 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1927-1931 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1928-1932 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1929-1933 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1930-1934 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1931-1935 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","recruitment","Population","1932-1936 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","recruitment","Population","1933-1937 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","recruitment","Population","1934-1938 mean",NA,NA,NA,8,NA,1.5,5
"Scup","Atlantic","recruitment","Population","1935-1939 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1936-1940 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1937-1941 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1938-1942 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1939-1943 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1940-1944 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1941-1945 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1942-1946 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1943-1947 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1944-1948 mean",NA,NA,NA,8,NA,1.5,4
"Scup","Atlantic","recruitment","Population","1945-1949 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1946-1950 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1947-1951 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1948-1952 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1949-1953 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1950-1954 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","recruitment","Population","1951-1955 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","recruitment","Population","1952-1956 mean",NA,NA,NA,8,NA,2.5,12
"Scup","Atlantic","recruitment","Population","1953-1957 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","recruitment","Population","1954-1958 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","recruitment","Population","1955-1959 mean",NA,NA,NA,8,NA,2.5,11
"Scup","Atlantic","recruitment","Population","1956-1960 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","recruitment","Population","1957-1961 mean",NA,NA,NA,8,NA,2.5,10
"Scup","Atlantic","recruitment","Population","1958-1962 mean",NA,NA,NA,8,NA,2.5,11
"Scup","Atlantic","recruitment","Population","1959-1963 mean",NA,NA,NA,8,NA,2.5,13
"Scup","Atlantic","recruitment","Population","1960-1964 mean",NA,NA,NA,8,NA,2.5,15
"Scup","Atlantic","recruitment","Population","1961-1965 mean",NA,NA,NA,8,NA,2.5,18
"Scup","Atlantic","recruitment","Population","1962-1966 mean",NA,NA,NA,8,NA,2.5,17
"Scup","Atlantic","recruitment","Population","1963-1967 mean",NA,NA,NA,8,NA,2.5,18
"Scup","Atlantic","recruitment","Population","1964-1968 mean",NA,NA,NA,8,NA,4.72115384615385,33
"Scup","Atlantic","recruitment","Population","1965-1969 mean",NA,NA,NA,8,NA,5.16346153846154,32
"Scup","Atlantic","recruitment","Population","1966-1970 mean",NA,NA,NA,8,NA,5.52884615384615,36
"Scup","Atlantic","recruitment","Population","1967-1971 mean",NA,NA,NA,8,NA,6.25,47
"Scup","Atlantic","recruitment","Population","1968-1972 mean",NA,NA,NA,8,NA,6.07692307692308,44
"Scup","Atlantic","recruitment","Population","1969-1973 mean",NA,NA,NA,8,NA,7.44150641025641,39
"Scup","Atlantic","recruitment","Population","1970-1974 mean",NA,NA,NA,8,NA,7.37660256410256,38
"Scup","Atlantic","recruitment","Population","1971-1975 mean",NA,NA,NA,8,NA,6.70833333333333,30
"Scup","Atlantic","recruitment","Population","1972-1976 mean",NA,NA,NA,8,NA,6.81089743589744,30
"Scup","Atlantic","recruitment","Population","1973-1977 mean",NA,NA,NA,8,NA,6.25721153846154,20
"Scup","Atlantic","recruitment","Population","1974-1978 mean",NA,NA,NA,8,NA,6.13782051282051,21
"Scup","Atlantic","recruitment","Population","1975-1979 mean",NA,NA,NA,8,NA,6.30448717948718,26
"Scup","Atlantic","recruitment","Population","1976-1980 mean",NA,NA,NA,8,NA,6.84615384615385,38
"Scup","Atlantic","recruitment","Population","1977-1981 mean",NA,NA,NA,8,NA,7.73317307692308,49
"Scup","Atlantic","recruitment","Population","1978-1982 mean",NA,NA,NA,8,NA,8.14275472334683,49
"Scup","Atlantic","recruitment","Population","1979-1983 mean",NA,NA,NA,8,NA,8.80474021592443,50
"Scup","Atlantic","recruitment","Population","1980-1984 mean",1.47e+08,14,99,8,0.388888888888889,9.14274066576698,53
"Scup","Atlantic","recruitment","Population","1981-1985 mean",140500000,18,94,8,0.5,8.82395692757535,50
"Scup","Atlantic","recruitment","Population","1982-1986 mean",124666666.666667,22,92,8,0.611111111111111,9.40870676880739,47
"Scup","Atlantic","recruitment","Population","1983-1987 mean",1.11e+08,25,89,8,0.694444444444444,9.56497330713662,50
"Scup","Atlantic","recruitment","Population","1984-1988 mean",114800000,24,90,8,0.666666666666667,8.82177800269906,38
"Scup","Atlantic","recruitment","Population","1985-1989 mean",100400000,27,87,8,0.75,8.86256731099997,36
"Scup","Atlantic","recruitment","Population","1986-1990 mean",9.6e+07,29,85,8,0.805555555555556,8.44843183562224,29
"Scup","Atlantic","recruitment","Population","1987-1991 mean",97200000,28,86,8,0.777777777777778,7.99951046545474,11
"Scup","Atlantic","recruitment","Population","1988-1992 mean",91200000,30,83,8,0.833333333333333,8.38175425365828,17
"Scup","Atlantic","recruitment","Population","1989-1993 mean",73200000,31,66,8,0.861111111111111,8.0978341404038,12
"Scup","Atlantic","recruitment","Population","1990-1994 mean",72800000,32,57,8,0.888888888888889,8.48821726733878,19
"Scup","Atlantic","recruitment","Population","1991-1995 mean",5.9e+07,34,50,8,0.944444444444444,9.26425273213199,31
"Scup","Atlantic","recruitment","Population","1992-1996 mean",46600000,36,45,8,1,9.88682490540076,46
"Scup","Atlantic","recruitment","Population","1993-1997 mean",57800000,35,54,8,0.972222222222222,9.76895954063137,44
"Scup","Atlantic","recruitment","Population","1994-1998 mean",71800000,33,74,8,0.916666666666667,9.82924588526369,46
"Scup","Atlantic","recruitment","Population","1995-1999 mean",103400000,26,68,8,0.722222222222222,9.10116495991109,41
"Scup","Atlantic","recruitment","Population","1996-2000 mean",125600000,21,52,8,0.583333333333333,8.22903932153158,32
"Scup","Atlantic","recruitment","Population","1997-2001 mean",146800000,15,52,8,0.416666666666667,7.66183995528036,28
"Scup","Atlantic","recruitment","Population","1998-2002 mean",145800000,16,51,8,0.444444444444444,6.33178865338308,11
"Scup","Atlantic","recruitment","Population","1999-2003 mean",142200000,17,51,8,0.472222222222222,7.19842852795639,22
"Scup","Atlantic","recruitment","Population","2000-2004 mean",124400000,23,57,8,0.638888888888889,6.39649817416845,12
"Scup","Atlantic","recruitment","Population","2001-2005 mean",138800000,19,56,8,0.527777777777778,6.71016247254637,14
"Scup","Atlantic","recruitment","Population","2002-2006 mean",1.63e+08,10.5,55,8,0.291666666666667,5.88232730676616,6
"Scup","Atlantic","recruitment","Population","2003-2007 mean",197200000,4,54,8,0.111111111111111,6.98484179434257,12
"Scup","Atlantic","recruitment","Population","2004-2008 mean",2.25e+08,1,49,8,0.0277777777777778,5.36870716572729,3
"Scup","Atlantic","recruitment","Population","2005-2009 mean",222200000,2,50,8,0.0555555555555556,5.45551354819931,4
"Scup","Atlantic","recruitment","Population","2006-2010 mean",205600000,3,46,8,0.0833333333333333,6.07790131909714,2
"Scup","Atlantic","recruitment","Population","2007-2011 mean",192600000,6,46,8,0.166666666666667,6.36957178957953,4
"Scup","Atlantic","recruitment","Population","2008-2012 mean",1.63e+08,10.5,47,8,0.291666666666667,6.35129462041227,5
"Scup","Atlantic","recruitment","Population","2009-2013 mean",1.38e+08,20,51,8,0.555555555555556,7.95490725304967,26
"Scup","Atlantic","recruitment","Population","2010-2014 mean",159400000,12,52,8,0.333333333333333,7.4110079119367,17
"Scup","Atlantic","recruitment","Population","2011-2015 mean",1.96e+08,5,50,8,0.138888888888889,7.95796535550793,22
"Scup","Atlantic","recruitment","Population","2012-2016 mean",178600000,7,53,8,0.194444444444444,7.49536314863327,14
"Scup","Atlantic","recruitment","Population","2013-2017 mean",174400000,8,52,8,0.222222222222222,8.07345267391707,20
"Scup","Atlantic","recruitment","Population","2014-2018 mean",169800000,9,47,8,0.25,7.58697937339578,17
"Scup","Atlantic","recruitment","Population","2015-2019 mean",153500000,13,46,8,0.361111111111111,7.64075854700855,22
"Scup","Atlantic","asmt_abundance","Population","1965-1969 mean",NA,NA,NA,8,NA,5.16346153846154,32
"Scup","Atlantic","asmt_abundance","Population","1966-1970 mean",NA,NA,NA,8,NA,5.52884615384615,36
"Scup","Atlantic","asmt_abundance","Population","1967-1971 mean",NA,NA,NA,8,NA,6.25,47
"Scup","Atlantic","asmt_abundance","Population","1968-1972 mean",NA,NA,NA,8,NA,6.07692307692308,44
"Scup","Atlantic","asmt_abundance","Population","1969-1973 mean",NA,NA,NA,8,NA,7.44150641025641,39
"Scup","Atlantic","asmt_abundance","Population","1970-1974 mean",NA,NA,NA,8,NA,7.37660256410256,38
"Scup","Atlantic","asmt_abundance","Population","1971-1975 mean",NA,NA,NA,8,NA,6.70833333333333,30
"Scup","Atlantic","asmt_abundance","Population","1972-1976 mean",NA,NA,NA,8,NA,6.81089743589744,30
"Scup","Atlantic","asmt_abundance","Population","1973-1977 mean",NA,NA,NA,8,NA,6.25721153846154,20
"Scup","Atlantic","asmt_abundance","Population","1974-1978 mean",NA,NA,NA,8,NA,6.13782051282051,21
"Scup","Atlantic","asmt_abundance","Population","1975-1979 mean",NA,NA,NA,8,NA,6.30448717948718,26
"Scup","Atlantic","asmt_abundance","Population","1976-1980 mean",NA,NA,NA,8,NA,6.84615384615385,38
"Scup","Atlantic","asmt_abundance","Population","1977-1981 mean",NA,NA,NA,8,NA,7.73317307692308,49
"Scup","Atlantic","asmt_abundance","Population","1978-1982 mean",NA,NA,NA,8,NA,8.14275472334683,49
"Scup","Atlantic","asmt_abundance","Population","1979-1983 mean",NA,NA,NA,8,NA,8.80474021592443,50
"Scup","Atlantic","asmt_abundance","Population","1980-1984 mean",NA,NA,NA,8,NA,9.14274066576698,53
"Scup","Atlantic","asmt_abundance","Population","1981-1985 mean",NA,NA,NA,8,NA,8.82395692757535,50
"Scup","Atlantic","asmt_abundance","Population","1982-1986 mean",NA,NA,NA,8,NA,9.40870676880739,47
"Scup","Atlantic","asmt_abundance","Population","1983-1987 mean",NA,NA,NA,8,NA,9.56497330713662,50
"Scup","Atlantic","asmt_abundance","Population","1984-1988 mean",NA,NA,NA,8,NA,8.82177800269906,38
"Scup","Atlantic","asmt_abundance","Population","1985-1989 mean",NA,NA,NA,8,NA,8.86256731099997,36
"Scup","Atlantic","asmt_abundance","Population","1986-1990 mean",NA,NA,NA,8,NA,8.44843183562224,29
"Scup","Atlantic","asmt_abundance","Population","1987-1991 mean",NA,NA,NA,8,NA,7.99951046545474,11
"Scup","Atlantic","asmt_abundance","Population","1988-1992 mean",NA,NA,NA,8,NA,8.38175425365828,17
"Scup","Atlantic","asmt_abundance","Population","1989-1993 mean",NA,NA,NA,8,NA,8.0978341404038,12
"Scup","Atlantic","asmt_abundance","Population","1990-1994 mean",NA,NA,NA,8,NA,8.48821726733878,19
