"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Scup","Atlantic","asmt_catch","Socioeconomic","1939-1943 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1940-1944 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1941-1945 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1942-1946 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1943-1947 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1944-1948 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1945-1949 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1946-1950 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1947-1951 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1948-1952 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1949-1953 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1950-1954 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1951-1955 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1952-1956 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1953-1957 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1954-1958 mean",NA,NA,NA,8,NA,1.5,8,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1955-1959 mean",NA,NA,NA,8,NA,1.5,7,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1956-1960 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1957-1961 mean",NA,NA,NA,8,NA,1.5,9,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1958-1962 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1959-1963 mean",NA,NA,NA,8,NA,1.5,9,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1960-1964 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1961-1965 mean",NA,NA,NA,8,NA,1.5,10,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1962-1966 mean",NA,NA,NA,8,NA,1.5,11,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1963-1967 mean",NA,NA,NA,8,NA,1.5,12,53,"Scup - Atlantic","Scup, 1.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1964-1968 mean",NA,NA,NA,8,NA,4.97619047619048,31,53,"Scup - Atlantic","Scup, 4.98"
"Scup","Atlantic","asmt_catch","Socioeconomic","1965-1969 mean",NA,NA,NA,8,NA,4.77855297157623,27,53,"Scup - Atlantic","Scup, 4.78"
"Scup","Atlantic","asmt_catch","Socioeconomic","1966-1970 mean",NA,NA,NA,8,NA,4.76212121212121,29,53,"Scup - Atlantic","Scup, 4.76"
"Scup","Atlantic","asmt_catch","Socioeconomic","1967-1971 mean",NA,NA,NA,8,NA,4.75296442687747,32,53,"Scup - Atlantic","Scup, 4.75"
"Scup","Atlantic","asmt_catch","Socioeconomic","1968-1972 mean",NA,NA,NA,8,NA,4.73025732031943,30,53,"Scup - Atlantic","Scup, 4.73"
"Scup","Atlantic","asmt_catch","Socioeconomic","1969-1973 mean",NA,NA,NA,8,NA,6.75161926716002,27,53,"Scup - Atlantic","Scup, 6.75"
"Scup","Atlantic","asmt_catch","Socioeconomic","1970-1974 mean",NA,NA,NA,8,NA,6.81054484698597,29,53,"Scup - Atlantic","Scup, 6.81"
"Scup","Atlantic","asmt_catch","Socioeconomic","1971-1975 mean",NA,NA,NA,8,NA,6.75446015594027,29,53,"Scup - Atlantic","Scup, 6.75"
"Scup","Atlantic","asmt_catch","Socioeconomic","1972-1976 mean",NA,NA,NA,8,NA,6.75532879818594,27,53,"Scup - Atlantic","Scup, 6.76"
"Scup","Atlantic","asmt_catch","Socioeconomic","1973-1977 mean",NA,NA,NA,8,NA,7.03482697426797,23,53,"Scup - Atlantic","Scup, 7.03"
"Scup","Atlantic","asmt_catch","Socioeconomic","1974-1978 mean",NA,NA,NA,8,NA,7.03708274007277,23,53,"Scup - Atlantic","Scup, 7.04"
"Scup","Atlantic","asmt_catch","Socioeconomic","1975-1979 mean",NA,NA,NA,8,NA,6.82848458532349,23,53,"Scup - Atlantic","Scup, 6.83"
"Scup","Atlantic","asmt_catch","Socioeconomic","1976-1980 mean",NA,NA,NA,8,NA,6.93313069908815,24,53,"Scup - Atlantic","Scup, 6.93"
"Scup","Atlantic","asmt_catch","Socioeconomic","1977-1981 mean",19514,27,32,8,0.84375,7.33810518888406,31,53,"Scup - Atlantic","Scup, 7.34"
"Scup","Atlantic","asmt_catch","Socioeconomic","1978-1982 mean",18132.5,29,34,8,0.852941176470588,7.45910704707415,33,53,"Scup - Atlantic","Scup, 7.46"
"Scup","Atlantic","asmt_catch","Socioeconomic","1979-1983 mean",17200.3333333333,28,34,8,0.823529411764706,7.54063753160839,32,53,"Scup - Atlantic","Scup, 7.54"
"Scup","Atlantic","asmt_catch","Socioeconomic","1980-1984 mean",16109.25,27,34,8,0.794117647058823,7.6073670633841,33,53,"Scup - Atlantic","Scup, 7.61"
"Scup","Atlantic","asmt_catch","Socioeconomic","1981-1985 mean",15885.2,27,35,8,0.771428571428571,7.287178988154,29,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","asmt_catch","Socioeconomic","1982-1986 mean",15375.4,27,35,8,0.771428571428571,8.15633348103194,31,53,"Scup - Atlantic","Scup, 8.16"
"Scup","Atlantic","asmt_catch","Socioeconomic","1983-1987 mean",14805.6,27,35,8,0.771428571428571,8.00618031083992,30,53,"Scup - Atlantic","Scup, 8.01"
"Scup","Atlantic","asmt_catch","Socioeconomic","1984-1988 mean",14114.8,27,35,8,0.771428571428571,7.6991420080574,26,53,"Scup - Atlantic","Scup, 7.7"
"Scup","Atlantic","asmt_catch","Socioeconomic","1985-1989 mean",13566.8,29,38,8,0.763157894736842,7.59335724616454,24,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","asmt_catch","Socioeconomic","1986-1990 mean",12639,28,38,8,0.736842105263158,7.62550049247908,24,53,"Scup - Atlantic","Scup, 7.63"
"Scup","Atlantic","asmt_catch","Socioeconomic","1987-1991 mean",12526.2,27,38,8,0.710526315789474,7.55868133537306,22,53,"Scup - Atlantic","Scup, 7.56"
"Scup","Atlantic","asmt_catch","Socioeconomic","1988-1992 mean",12245,28,38,8,0.736842105263158,7.6714656252904,25,53,"Scup - Atlantic","Scup, 7.67"
"Scup","Atlantic","asmt_catch","Socioeconomic","1989-1993 mean",11542,27,38,8,0.710526315789474,7.82620627729295,27,53,"Scup - Atlantic","Scup, 7.83"
"Scup","Atlantic","asmt_catch","Socioeconomic","1990-1994 mean",10992.4,27,38,8,0.710526315789474,7.81007420004022,25,53,"Scup - Atlantic","Scup, 7.81"
"Scup","Atlantic","asmt_catch","Socioeconomic","1991-1995 mean",9945.4,26,38,8,0.684210526315789,7.75069803908252,28,53,"Scup - Atlantic","Scup, 7.75"
"Scup","Atlantic","asmt_catch","Socioeconomic","1992-1996 mean",7840,25,38,8,0.657894736842105,8.14815552067274,31,53,"Scup - Atlantic","Scup, 8.15"
"Scup","Atlantic","asmt_catch","Socioeconomic","1993-1997 mean",6151.4,25,38,8,0.657894736842105,8.01274085323837,29,53,"Scup - Atlantic","Scup, 8.01"
"Scup","Atlantic","asmt_catch","Socioeconomic","1994-1998 mean",5175,25,38,8,0.657894736842105,7.87130280800094,29,53,"Scup - Atlantic","Scup, 7.87"
"Scup","Atlantic","asmt_catch","Socioeconomic","1995-1999 mean",4583.4,24,38,8,0.631578947368421,7.88495172148327,29,53,"Scup - Atlantic","Scup, 7.88"
"Scup","Atlantic","asmt_catch","Socioeconomic","1996-2000 mean",5003.6,24,38,8,0.631578947368421,7.60291303814879,21,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","asmt_catch","Socioeconomic","1997-2001 mean",5479,24,38,8,0.631578947368421,7.5871148039615,21,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","asmt_catch","Socioeconomic","1998-2002 mean",6210.4,26,39,8,0.666666666666667,7.29035842576876,19,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","asmt_catch","Socioeconomic","1999-2003 mean",8135.2,28,39,8,0.717948717948718,7.28868056968361,19,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","asmt_catch","Socioeconomic","2000-2004 mean",9651.6,29,39,8,0.743589743589744,7.51246600716127,19,53,"Scup - Atlantic","Scup, 7.51"
"Scup","Atlantic","asmt_catch","Socioeconomic","2001-2005 mean",9535.8,30,39,8,0.769230769230769,7.48722110569105,19,53,"Scup - Atlantic","Scup, 7.49"
"Scup","Atlantic","asmt_catch","Socioeconomic","2002-2006 mean",9546.4,30,39,8,0.769230769230769,7.52418002790098,20,53,"Scup - Atlantic","Scup, 7.52"
"Scup","Atlantic","asmt_catch","Socioeconomic","2003-2007 mean",9841,30,39,8,0.769230769230769,7.73526541950443,23,53,"Scup - Atlantic","Scup, 7.74"
"Scup","Atlantic","asmt_catch","Socioeconomic","2004-2008 mean",8676,30,39,8,0.769230769230769,7.71330338183071,24,53,"Scup - Atlantic","Scup, 7.71"
"Scup","Atlantic","asmt_catch","Socioeconomic","2005-2009 mean",8344.2,30,39,8,0.769230769230769,7.65428933811287,25,53,"Scup - Atlantic","Scup, 7.65"
"Scup","Atlantic","asmt_catch","Socioeconomic","2006-2010 mean",9807,31,39,8,0.794871794871795,7.21201958833261,11,53,"Scup - Atlantic","Scup, 7.21"
"Scup","Atlantic","asmt_catch","Socioeconomic","2007-2011 mean",10796.6,32,40,8,0.8,7.37165432638627,14,53,"Scup - Atlantic","Scup, 7.37"
"Scup","Atlantic","asmt_catch","Socioeconomic","2008-2012 mean",11393.2,32,40,8,0.8,7.38825434940758,13,53,"Scup - Atlantic","Scup, 7.39"
"Scup","Atlantic","asmt_catch","Socioeconomic","2009-2013 mean",13074.8,35,40,8,0.875,7.59267712910003,16,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","asmt_catch","Socioeconomic","2010-2014 mean",13688.6,35,40,8,0.875,7.60233674193301,16,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","asmt_catch","Socioeconomic","2011-2015 mean",14019.6,36,40,8,0.9,7.7590046857904,19,53,"Scup - Atlantic","Scup, 7.76"
"Scup","Atlantic","asmt_catch","Socioeconomic","2012-2016 mean",14432.6,36,40,8,0.9,7.96188751724466,21,53,"Scup - Atlantic","Scup, 7.96"
"Scup","Atlantic","asmt_catch","Socioeconomic","2013-2017 mean",15791.6,37,40,8,0.925,8.36075036075036,29,53,"Scup - Atlantic","Scup, 8.36"
"Scup","Atlantic","asmt_catch","Socioeconomic","2014-2018 mean",15830.8,37,40,8,0.925,8.29264515923671,29,53,"Scup - Atlantic","Scup, 8.29"
"Scup","Atlantic","recruitment","Population","1964-1968 mean",NA,NA,NA,8,NA,4.97619047619048,31,53,"Scup - Atlantic","Scup, 4.98"
"Scup","Atlantic","recruitment","Population","1965-1969 mean",NA,NA,NA,8,NA,4.77855297157623,27,53,"Scup - Atlantic","Scup, 4.78"
"Scup","Atlantic","recruitment","Population","1966-1970 mean",NA,NA,NA,8,NA,4.76212121212121,29,53,"Scup - Atlantic","Scup, 4.76"
"Scup","Atlantic","recruitment","Population","1967-1971 mean",NA,NA,NA,8,NA,4.75296442687747,32,53,"Scup - Atlantic","Scup, 4.75"
"Scup","Atlantic","recruitment","Population","1968-1972 mean",NA,NA,NA,8,NA,4.73025732031943,30,53,"Scup - Atlantic","Scup, 4.73"
"Scup","Atlantic","recruitment","Population","1969-1973 mean",NA,NA,NA,8,NA,6.75161926716002,27,53,"Scup - Atlantic","Scup, 6.75"
"Scup","Atlantic","recruitment","Population","1970-1974 mean",NA,NA,NA,8,NA,6.81054484698597,29,53,"Scup - Atlantic","Scup, 6.81"
"Scup","Atlantic","recruitment","Population","1971-1975 mean",NA,NA,NA,8,NA,6.75446015594027,29,53,"Scup - Atlantic","Scup, 6.75"
"Scup","Atlantic","recruitment","Population","1972-1976 mean",NA,NA,NA,8,NA,6.75532879818594,27,53,"Scup - Atlantic","Scup, 6.76"
"Scup","Atlantic","recruitment","Population","1973-1977 mean",NA,NA,NA,8,NA,7.03482697426797,23,53,"Scup - Atlantic","Scup, 7.03"
"Scup","Atlantic","recruitment","Population","1974-1978 mean",NA,NA,NA,8,NA,7.03708274007277,23,53,"Scup - Atlantic","Scup, 7.04"
"Scup","Atlantic","recruitment","Population","1975-1979 mean",NA,NA,NA,8,NA,6.82848458532349,23,53,"Scup - Atlantic","Scup, 6.83"
"Scup","Atlantic","recruitment","Population","1976-1980 mean",NA,NA,NA,8,NA,6.93313069908815,24,53,"Scup - Atlantic","Scup, 6.93"
"Scup","Atlantic","recruitment","Population","1977-1981 mean",NA,NA,NA,8,NA,7.33810518888406,31,53,"Scup - Atlantic","Scup, 7.34"
"Scup","Atlantic","recruitment","Population","1978-1982 mean",NA,NA,NA,8,NA,7.45910704707415,33,53,"Scup - Atlantic","Scup, 7.46"
"Scup","Atlantic","recruitment","Population","1979-1983 mean",NA,NA,NA,8,NA,7.54063753160839,32,53,"Scup - Atlantic","Scup, 7.54"
"Scup","Atlantic","recruitment","Population","1980-1984 mean",1.47e+08,3,18,8,0.166666666666667,7.6073670633841,33,53,"Scup - Atlantic","Scup, 7.61"
"Scup","Atlantic","recruitment","Population","1981-1985 mean",140500000,3,20,8,0.15,7.287178988154,29,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","recruitment","Population","1982-1986 mean",124666666.666667,3,20,8,0.15,8.15633348103194,31,53,"Scup - Atlantic","Scup, 8.16"
"Scup","Atlantic","recruitment","Population","1983-1987 mean",1.11e+08,3,20,8,0.15,8.00618031083992,30,53,"Scup - Atlantic","Scup, 8.01"
"Scup","Atlantic","recruitment","Population","1984-1988 mean",114800000,3,20,8,0.15,7.6991420080574,26,53,"Scup - Atlantic","Scup, 7.7"
"Scup","Atlantic","recruitment","Population","1985-1989 mean",100400000,3,22,8,0.136363636363636,7.59335724616454,24,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","recruitment","Population","1986-1990 mean",9.6e+07,3,22,8,0.136363636363636,7.62550049247908,24,53,"Scup - Atlantic","Scup, 7.63"
"Scup","Atlantic","recruitment","Population","1987-1991 mean",97200000,3,22,8,0.136363636363636,7.55868133537306,22,53,"Scup - Atlantic","Scup, 7.56"
"Scup","Atlantic","recruitment","Population","1988-1992 mean",91200000,3,22,8,0.136363636363636,7.6714656252904,25,53,"Scup - Atlantic","Scup, 7.67"
"Scup","Atlantic","recruitment","Population","1989-1993 mean",73200000,3,22,8,0.136363636363636,7.82620627729295,27,53,"Scup - Atlantic","Scup, 7.83"
"Scup","Atlantic","recruitment","Population","1990-1994 mean",72800000,3,22,8,0.136363636363636,7.81007420004022,25,53,"Scup - Atlantic","Scup, 7.81"
"Scup","Atlantic","recruitment","Population","1991-1995 mean",5.9e+07,3,22,8,0.136363636363636,7.75069803908252,28,53,"Scup - Atlantic","Scup, 7.75"
"Scup","Atlantic","recruitment","Population","1992-1996 mean",46600000,5,22,8,0.227272727272727,8.14815552067274,31,53,"Scup - Atlantic","Scup, 8.15"
"Scup","Atlantic","recruitment","Population","1993-1997 mean",57800000,4,22,8,0.181818181818182,8.01274085323837,29,53,"Scup - Atlantic","Scup, 8.01"
"Scup","Atlantic","recruitment","Population","1994-1998 mean",71800000,3,22,8,0.136363636363636,7.87130280800094,29,53,"Scup - Atlantic","Scup, 7.87"
"Scup","Atlantic","recruitment","Population","1995-1999 mean",103400000,3,22,8,0.136363636363636,7.88495172148327,29,53,"Scup - Atlantic","Scup, 7.88"
"Scup","Atlantic","recruitment","Population","1996-2000 mean",125600000,3,22,8,0.136363636363636,7.60291303814879,21,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","recruitment","Population","1997-2001 mean",146800000,3,22,8,0.136363636363636,7.5871148039615,21,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","recruitment","Population","1998-2002 mean",145800000,3,22,8,0.136363636363636,7.29035842576876,19,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","recruitment","Population","1999-2003 mean",142200000,3,22,8,0.136363636363636,7.28868056968361,19,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","recruitment","Population","2000-2004 mean",124400000,3,22,8,0.136363636363636,7.51246600716127,19,53,"Scup - Atlantic","Scup, 7.51"
"Scup","Atlantic","recruitment","Population","2001-2005 mean",138800000,3,22,8,0.136363636363636,7.48722110569105,19,53,"Scup - Atlantic","Scup, 7.49"
"Scup","Atlantic","recruitment","Population","2002-2006 mean",1.63e+08,3,22,8,0.136363636363636,7.52418002790098,20,53,"Scup - Atlantic","Scup, 7.52"
"Scup","Atlantic","recruitment","Population","2003-2007 mean",197200000,3,22,8,0.136363636363636,7.73526541950443,23,53,"Scup - Atlantic","Scup, 7.74"
"Scup","Atlantic","recruitment","Population","2004-2008 mean",2.25e+08,3,22,8,0.136363636363636,7.71330338183071,24,53,"Scup - Atlantic","Scup, 7.71"
"Scup","Atlantic","recruitment","Population","2005-2009 mean",222200000,2,22,8,0.0909090909090909,7.65428933811287,25,53,"Scup - Atlantic","Scup, 7.65"
"Scup","Atlantic","recruitment","Population","2006-2010 mean",205600000,2,22,8,0.0909090909090909,7.21201958833261,11,53,"Scup - Atlantic","Scup, 7.21"
"Scup","Atlantic","recruitment","Population","2007-2011 mean",192600000,3,23,8,0.130434782608696,7.37165432638627,14,53,"Scup - Atlantic","Scup, 7.37"
"Scup","Atlantic","recruitment","Population","2008-2012 mean",1.63e+08,2,23,8,0.0869565217391304,7.38825434940758,13,53,"Scup - Atlantic","Scup, 7.39"
"Scup","Atlantic","recruitment","Population","2009-2013 mean",1.38e+08,2,23,8,0.0869565217391304,7.59267712910003,16,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","recruitment","Population","2010-2014 mean",159400000,3,23,8,0.130434782608696,7.60233674193301,16,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","recruitment","Population","2011-2015 mean",1.96e+08,3,22,8,0.136363636363636,7.7590046857904,19,53,"Scup - Atlantic","Scup, 7.76"
"Scup","Atlantic","recruitment","Population","2012-2016 mean",178600000,3,20,8,0.15,7.96188751724466,21,53,"Scup - Atlantic","Scup, 7.96"
"Scup","Atlantic","recruitment","Population","2013-2017 mean",174400000,4,20,8,0.2,8.36075036075036,29,53,"Scup - Atlantic","Scup, 8.36"
"Scup","Atlantic","recruitment","Population","2014-2018 mean",169800000,4,20,8,0.2,8.29264515923671,29,53,"Scup - Atlantic","Scup, 8.29"
"Scup","Atlantic","recruitment","Population","2015-2019 mean",153500000,4,19,8,0.210526315789474,7.45000052922851,20,53,"Scup - Atlantic","Scup, 7.45"
"Scup","Atlantic","asmt_abundance","Population","1973-1977 mean",NA,NA,NA,8,NA,7.03482697426797,23,53,"Scup - Atlantic","Scup, 7.03"
"Scup","Atlantic","asmt_abundance","Population","1974-1978 mean",NA,NA,NA,8,NA,7.03708274007277,23,53,"Scup - Atlantic","Scup, 7.04"
"Scup","Atlantic","asmt_abundance","Population","1975-1979 mean",NA,NA,NA,8,NA,6.82848458532349,23,53,"Scup - Atlantic","Scup, 6.83"
"Scup","Atlantic","asmt_abundance","Population","1976-1980 mean",NA,NA,NA,8,NA,6.93313069908815,24,53,"Scup - Atlantic","Scup, 6.93"
"Scup","Atlantic","asmt_abundance","Population","1977-1981 mean",NA,NA,NA,8,NA,7.33810518888406,31,53,"Scup - Atlantic","Scup, 7.34"
"Scup","Atlantic","asmt_abundance","Population","1978-1982 mean",NA,NA,NA,8,NA,7.45910704707415,33,53,"Scup - Atlantic","Scup, 7.46"
"Scup","Atlantic","asmt_abundance","Population","1979-1983 mean",NA,NA,NA,8,NA,7.54063753160839,32,53,"Scup - Atlantic","Scup, 7.54"
"Scup","Atlantic","asmt_abundance","Population","1980-1984 mean",NA,NA,NA,8,NA,7.6073670633841,33,53,"Scup - Atlantic","Scup, 7.61"
"Scup","Atlantic","asmt_abundance","Population","1981-1985 mean",NA,NA,NA,8,NA,7.287178988154,29,53,"Scup - Atlantic","Scup, 7.29"
"Scup","Atlantic","asmt_abundance","Population","1982-1986 mean",NA,NA,NA,8,NA,8.15633348103194,31,53,"Scup - Atlantic","Scup, 8.16"
"Scup","Atlantic","asmt_abundance","Population","1983-1987 mean",NA,NA,NA,8,NA,8.00618031083992,30,53,"Scup - Atlantic","Scup, 8.01"
"Scup","Atlantic","asmt_abundance","Population","1984-1988 mean",NA,NA,NA,8,NA,7.6991420080574,26,53,"Scup - Atlantic","Scup, 7.7"
"Scup","Atlantic","asmt_abundance","Population","1985-1989 mean",NA,NA,NA,8,NA,7.59335724616454,24,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","asmt_abundance","Population","1986-1990 mean",NA,NA,NA,8,NA,7.62550049247908,24,53,"Scup - Atlantic","Scup, 7.63"
"Scup","Atlantic","asmt_abundance","Population","1987-1991 mean",NA,NA,NA,8,NA,7.55868133537306,22,53,"Scup - Atlantic","Scup, 7.56"
"Scup","Atlantic","asmt_abundance","Population","1988-1992 mean",NA,NA,NA,8,NA,7.6714656252904,25,53,"Scup - Atlantic","Scup, 7.67"
"Scup","Atlantic","asmt_abundance","Population","1989-1993 mean",NA,NA,NA,8,NA,7.82620627729295,27,53,"Scup - Atlantic","Scup, 7.83"
